chunk,frame_start,frame_apex,frame_end,duration,pred_idx,pred_label,prob_rendah,prob_tinggi
0,1,10,26,25,0,Anxiety Rendah,0.5427426099777222,0.45725736021995544
0,34,42,52,18,0,Anxiety Rendah,0.5430871844291687,0.4569127857685089
0,65,66,69,4,0,Anxiety Rendah,0.5392354726791382,0.4607645273208618
0,86,99,102,16,0,Anxiety Rendah,0.5370806455612183,0.4629193842411041
0,102,106,115,13,0,Anxiety Rendah,0.5118321776390076,0.48816779255867004
0,123,133,137,14,0,Anxiety Rendah,0.5278404951095581,0.4721595346927643
0,141,142,146,5,1,Anxiety Tinggi,0.49842900037765503,0.501570999622345
0,150,151,154,4,0,Anxiety Rendah,0.5170024633407593,0.4829975664615631
0,158,163,174,16,0,Anxiety Rendah,0.513207733631134,0.48679232597351074
0,174,186,194,20,1,Anxiety Tinggi,0.48795223236083984,0.5120477676391602
0,207,213,222,15,0,Anxiety Rendah,0.534220278263092,0.46577975153923035
0,233,236,238,5,0,Anxiety Rendah,0.5543552041053772,0.4456447660923004
0,244,252,265,21,0,Anxiety Rendah,0.5319516658782959,0.4680482745170593
0,281,294,304,23,0,Anxiety Rendah,0.5309455990791321,0.46905437111854553
0,305,317,320,15,0,Anxiety Rendah,0.5455769300460815,0.45442304015159607
0,332,346,353,21,0,Anxiety Rendah,0.533635139465332,0.46636489033699036
0,362,366,369,7,0,Anxiety Rendah,0.5395897626876831,0.4604102373123169
0,370,375,382,12,0,Anxiety Rendah,0.5623199343681335,0.43768009543418884
0,393,403,416,23,0,Anxiety Rendah,0.5260295271873474,0.4739704430103302
0,429,444,459,30,0,Anxiety Rendah,0.5471382737159729,0.4528617560863495
0,464,474,483,19,0,Anxiety Rendah,0.5448285341262817,0.45517152547836304
0,496,509,519,23,0,Anxiety Rendah,0.5315004587173462,0.4684995412826538
0,538,550,561,23,0,Anxiety Rendah,0.5175665020942688,0.4824334681034088
0,572,583,589,17,0,Anxiety Rendah,0.511898398399353,0.4881015717983246
0,592,595,600,8,0,Anxiety Rendah,0.5230515003204346,0.47694846987724304
0,600,605,615,15,0,Anxiety Rendah,0.515876829624176,0.484123170375824
0,632,643,655,23,0,Anxiety Rendah,0.5486461520195007,0.45135384798049927
0,667,681,693,26,0,Anxiety Rendah,0.5292037725448608,0.4707961976528168
0,706,711,716,10,0,Anxiety Rendah,0.5471252202987671,0.4528747797012329
0,716,722,733,17,0,Anxiety Rendah,0.5400769710540771,0.45992302894592285
0,742,756,780,38,0,Anxiety Rendah,0.5577536225318909,0.44224631786346436
0,793,804,816,23,0,Anxiety Rendah,0.5291731357574463,0.4708268642425537
0,819,834,837,18,0,Anxiety Rendah,0.5409330725669861,0.4590669274330139
0,852,859,870,18,0,Anxiety Rendah,0.5266528129577637,0.47334715723991394
0,873,888,894,21,0,Anxiety Rendah,0.5247235894203186,0.4752764403820038
0,904,917,922,18,0,Anxiety Rendah,0.5287845730781555,0.47121545672416687
0,933,943,952,19,0,Anxiety Rendah,0.5306658148765564,0.4693341553211212
0,956,970,983,27,0,Anxiety Rendah,0.5450058579444885,0.4549941420555115
1,1006,1019,1027,21,0,Anxiety Rendah,0.5312942862510681,0.4687056541442871
1,1027,1035,1039,12,1,Anxiety Tinggi,0.4998425543308258,0.5001574158668518
1,1042,1050,1064,22,0,Anxiety Rendah,0.535966157913208,0.4640338718891144
1,1075,1087,1089,14,0,Anxiety Rendah,0.535304605960846,0.46469539403915405
1,1089,1092,1098,9,0,Anxiety Rendah,0.534135103225708,0.465864896774292
1,1103,1115,1127,24,0,Anxiety Rendah,0.5098283886909485,0.4901716411113739
1,1133,1151,1163,30,1,Anxiety Tinggi,0.4955965280532837,0.5044034719467163
1,1177,1188,1199,22,0,Anxiety Rendah,0.5319528579711914,0.468047171831131
1,1199,1211,1223,24,0,Anxiety Rendah,0.5376331210136414,0.46236687898635864
1,1241,1262,1276,35,0,Anxiety Rendah,0.5350831151008606,0.4649168848991394
1,1288,1303,1310,22,0,Anxiety Rendah,0.5161393284797668,0.48386064171791077
1,1310,1317,1322,12,0,Anxiety Rendah,0.519169270992279,0.48083072900772095
1,1325,1327,1329,4,0,Anxiety Rendah,0.5402892827987671,0.4597107172012329
1,1339,1349,1354,15,1,Anxiety Tinggi,0.48724809288978577,0.5127519369125366
1,1354,1360,1364,10,0,Anxiety Rendah,0.5359624624252319,0.4640375077724457
1,1368,1376,1389,21,0,Anxiety Rendah,0.530546247959137,0.4694537818431854
